Location,Job_Description,Sector,Eligibility,salary,Month,vacancies
MUMBAI,ACOUSTIC SUPERVISOR,Engineering,BTech BE  ME MTech,150000,2,8
MUMBAI,PIPE INSTALLATION SUPERVISOR,Engineering,BTech BE  ME MTech,150000,8,8
BENGALURU,AUTOMATION CONTROL ENGINEER,Engineering,BTech BE  ME MTech,70000,7,40
BENGALURU,PUBLIC RELATIONS SPECIALIST,Marketing,BTech BE  ME MTech,25000,12,2
BENGALURU,SENIOR SOFTWARE DEVELOPER ,IT/Software Development, BTech BE ,60000,8,2
BENGALURU,ELECTRICAL DESIGN ENGINEER,Engineering,BTech BE  ME MTech,40000,7,3
BENGALURU,CUSTOMER SERVICE AGENT  (VDA),Customer Service/Support,BTech BE  ME MTech,23000,11,8
BENGALURU,E- MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,20000,11,3
HYDERABAD,2D ANIMATOR,Creative/Design,BTech BE  ME MTech,60000,3,2
HYDERABAD,WEB DEVELOPER,IT/Software Development, BTech BE ,40000,11,3
HYDERABAD,MAGAZINE SALES EXECUTIVE,Sales/Retail/Business Development,BTech BE  ME MTech  MCA  MPhil PhD,45000,11,3
HYDERABAD,SOCIAL MEDIA SPECIALIST,Marketing,BTech BE  ME MTech,30000,2,2
MUMBAI,SOCIAL MEDIA ACCOUNT EXECUTIVE (ALEXANDRIA),Marketing,BTech BE  ME MTech,25000,8,2
MUMBAI,ELECTRICAL ENGINEER (POWER) / ALEXANDRIA,Engineering,BTech BE  ME MTech,25000,8,2
HYDERABAD,MECHANICAL SALES ENGINEER,Sales/Retail/Business Development,BTech BE  ME MTech,50000,4,2
BENGALURU,CALL CENTER AGENT ,Customer Service/Support, BTech BE ,13000,10,80
BENGALURU,TECHNICAL OFFICE MANAGER ,Engineering, Graduation  PG   Doctorate Doctorate ,100000,11,2
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE - BRITISH ACCOUNT,Customer Service/Support, BTech BE ,35000,5,15
BENGALURU,3D MAX INSTRUCTOR ,Education/Training, BSc ,100000,0,2
BENGALURU,CALL CENTER AGENT (INFOMINE),Customer Service/Support,BTech BE  ME MTech,16000,6,40
BENGALURU,INTERNATIONAL CALL CENTER AGENT,Customer Service/Support,BTech BE  ME MTech,35000,7,40
BENGALURU, TEST ENGINEER,Engineering,BTech BE  ME MTech,50000,4,15
BENGALURU,SALES EXECUTIVE / MEDIA ,Sales/Retail/Business Development,12TH ,50000,3,2
BENGALURU,JAVA DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,12,5
BENGALURU,JAVASCRIPT DEVELOPER,IT/Software Development,BTech BE  ME MTech,40000,7,5
BENGALURU,SALES INDOOR-OUTDOOR AGENT FOR FURNITURE,Sales/Retail/Business Development,BSc Diploma ITI MSc ,70000,2,5
BENGALURU,ELECTRICAL AND MECHANICAL SALES ENGINEER,Engineering,BTech BE  ME MTech,25000,2,8
BENGALURU,SECRETARY AND TELESALES AGENT,Administration,8TH ,10000,3,8
BENGALURU,SENIOR SHAREPOINT  / UI DEVELOPER  ,IT/Software Development,BTech BE  ME MTech,60000,8,5
BENGALURU,SECRETARY AND CUSTOMER SERVICE AGENT,Administration,BSc MSc MSW ,15000,1,2
BENGALURU,JUNIOR SOFTWARE DEVELOPER,IT/Software Development,MA  MCom  MPhil PhD,35000,10,2
BENGALURU,PHP / UI SOFTWARE DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,10,2
BENGALURU,KEY ACCOUNT MANAGER - MEDICAL ,Medical,Doctorate Doctorate ,51000,12,2
BENGALURU,SENIOR LINUX SYSTEM ADMINISTRATOR,IT/Software Development,BTech BE  ME MTech,50000,9,2
BENGALURU,DENTAL SALES REPRESENTATIVES,Engineering, BTech BE ,20570,3,2
BENGALURU,CUSTOMER SERVICE / TECHNICAL SUPPORT REPRESENTATIVE,Customer Service/Support,BTech BE  ME MTech,35000,6,8
BENGALURU,CONTACT CENTER (TECHNICAL SUPPORT) REPRESENTATIVE- FRENCH ,Customer Service/Support,BTech BE  ME MTech,35000,5,100
HYDERABAD,SALES ENGINEER,Engineering,BTech BE  ME MTech,20000,12,2
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development,BTech BE  ME MTech,95000,12,8
BENGALURU,SALES OUTDOOR,IT/Software Development,BTech BE  ME MTech,15000,11,2
HYDERABAD,CALL CENTER  AGENT (ALLIANZ),Customer Service/Support,BTech BE  ME MTech,15000,10,15
MUMBAI,CALL CENTER AGENT (ALEXANDRIA),Customer Service/Support,BTech BE  ME MTech,22000,3,3
MUMBAI,DIRECT SALES,Marketing, BBA   BMS ,18500,1,15
MUMBAI,QUALITY CONTROL ENGINEER- ALEXANDRIA ,Quality Assurance/Quality Control, Graduation  PG   Doctorate Doctorate ,30000,10,8
BENGALURU,CUSTOMER SERVICE AGENT ( UK ACCOUNT ) ,Customer Service/Support, BTech BE ,35000,12,100
BENGALURU,TELESALES REPRESENTATIVE,Customer Service/Support, BHM ,40000,0,40
HYDERABAD,WRITER EDITOR,Editorial/Writing,BTech BE  ME MTech,45000,0,3
HYDERABAD,GRAPHIC DESIGNER,Creative/Design, Graduation  PG  ,40000,3,2
BENGALURU,JUNIOR & SENIOR TELESALES AGENT ,Sales/Retail/Business Development,BTech BE  ME MTech,35000,0,5
BENGALURU,SALES ACCOUNT MANAGER - FOOD & BEVERAGE PRODUCTION,Sales/Retail/Business Development,BTech BE  ME MTech,50000,3,3
BENGALURU,FIELD ENGINEER - TELECOMMUNICATION,Engineering, BTech BE ,40000,7,5
HYDERABAD,SAFETY MANAGER,Engineering, BCom ,100000,12,3
SHARM EL SHEIKH,ELECTRICAL TECHNICAL OFFICE ENGINEER,Engineering,BTech BE  ME MTech,85000,1,2
BENGALURU,PROJECT MANAGER - INDUSTRIAL DESIGN,Project/Program Management,LLB,70000,12,2
HYDERABAD,CUSTOMER SERVICE SPECIALIST,Customer Service/Support, BTech BE PG  ,15000,5,2
MUMBAI,PRODUCTION SHIFT LEADER ENGINEER (ALEXANDRIA),Engineering,BTech BE  ME MTech,150000,4,8
BENGALURU,INFRASTRUCTURE CIVIL / MECHANICAL ENGINEER  ,Engineering,BTech BE  ME MTech,80000,1,2
BENGALURU,SOFTWARE DEVELOPER,IT/Software Development,BTech BE  ME MTech,40000,8,2
BENGALURU,TELEMARKETING REPRESENTATIVE,Sales/Retail/Business Development,BPharma MPharma DPharm ,30000,8,8
MUMBAI,MAINTENANCE MANAGER (ALEXANDRIA),Engineering,BTech BE  ME MTech,2500000,7,5
BENGALURU,TELESALES AGENT - MARKETING ,Sales/Retail/Business Development,MBBS  DNB  MSc  MPhil PhD  MS MD  MCh,40000,7,8
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,BSc Diploma 10TH GNM ,35000,5,40
BENGALURU,TELESALES REPRESENTATIVE -TELECOMMUNICATION SERVICES,Sales/Retail/Business Development,BTech BE  MSc  ME MTech,35000,5,80
BENGALURU,CIVIL SITE ENGINEER/ CONSULTANT,Engineering,BTech BE  ME MTech,45000,10,8
BENGALURU,NUTRITIONIST,Medical,BTech BE  ME MTech,40000,0,2
BENGALURU,SALES ACCOUNT MANAGER - COMPUTER SYSTEMS ,Sales/Retail/Business Development,BTech BE  ME MTech,30000,7,4
BENGALURU,PHP DEVELOPER ,IT/Software Development,BTech BE  ME MTech,40000,3,5
HYDERABAD,SENIOR TELESALES EXECUTIVE,Sales/Retail/Business Development,12TH 10TH ,30000,2,3
HYDERABAD,SALES ENGINEER,Engineering,BTech BE  ME MTech,30000,8,2
BENGALURU,MARKETING COORDIANTOR,Marketing,BTech BE  ME MTech,25000,12,2
BENGALURU,SENIOR WEB DEVELOPER,IT/Software Development, BCom ,50000,11,2
BENGALURU,SENIOR SOFTWARE DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,1,2
MUMBAI,TRANSLATOR (ALEXANDRIA),Editorial/Writing, BTech BE ,12000,4,8
BENGALURU,RESERVATIONS AGENT,Tourism/Travel, BTech BE ,20000,12,3
HYDERABAD,SALES EXECUTIVE- MARKETING SOLUTIONS ,Sales/Retail/Business Development,BTech BE  ME MTech,30000,6,2
HURGHADA,ASP.NET DEVELOPER,IT/Software Development,Doctorate Doctorate ,50000,10,2
BENGALURU,MAINTENANCE MANAGER,Engineering,BTech BE  ME MTech,60000,12,8
BENGALURU,GRAPHIC DESIGNER ,Creative/Design,PG MBA PGDM ,40000,1,3
BENGALURU,SAP ABAP DEVELOPER,IT/Software Development,MBBS  DNB  MSc  MPhil PhD  MS MD  MCh,70000,1,2
BENGALURU,UI / UX DESIGNER,IT/Software Development,BTech BE ,45000,4,2
BENGALURU,SENIOR SHAREPOINT DEVELOPER,IT/Software Development, BTech BE ,120000,12,5
HYDERABAD,TELESALES AGENT -TOURISM,Sales/Retail/Business Development,BTech BE  ME MTech,20000,2,15
BENGALURU,MOLD SUPPLY ENGINEER ,Engineering, BTech BE ,50000,7,2
BENGALURU,PROJECT ENGINEER,Installation/Maintenance/Repair,BTech BE  ME MTech,40000,3,2
BENGALURU,DEALER DEVELOPMENT ENGINEER,Engineering, BTech BE PG  ,50000,11,2
BENGALURU,CALL CENTER REPRESENTATIVE,Customer Service/Support, BTech BE ,25000,12,15
HYDERABAD,SALES ENGINEER,Sales/Retail/Business Development,BTech BE  ME MTech,25000,4,3
BENGALURU,PHOTO COPIER MAINTENANCE ENGINEER,Engineering, BSc PG MS MSc(Science),25000,10,15
BENGALURU,BACK-OFFICE/WEB-CHAT (UK ACCOUNT),Customer Service/Support,BTech BE  ME MTech,24000,5,15
MUMBAI,SOFTWARE ENGINEER - ALEXANDRIA ,IT/Software Development,BTech BE  ME MTech,40000,10,2
BENGALURU,TELESALES AGENT  -AMERICAN ACCOUNT ,Customer Service/Support,BTech BE  ME MTech,60000,9,40
BENGALURU,MAINTENANCE ENGINEER,Installation/Maintenance/Repair, BTech BE PG  ,70000,6,3
BENGALURU,MAINTENANCE ENGINEER,Installation/Maintenance/Repair,ME MTech  MPhil PhD,70000,12,3
HYDERABAD,TELESALES AGENT- CREDIT SERVICES ,Sales/Retail/Business Development,BTech BE ,30000,6,40
BENGALURU,SENIOR WEB & MOBILE APP DEVELOPER,IT/Software Development, BTech BE ,150000,4,2
HYDERABAD,ITALIAN CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  ME MTech,40000,10,80
HYDERABAD,CZECH CUSTOMER SUPPORT AGENT,Customer Service/Support,BTech BE  ME MTech,50000,9,8
HYDERABAD,DUTCH CUSTOMER SUPPORT AGENT,Customer Service/Support,BTech BE  ME MTech,50000,9,15
BENGALURU,CRM MANAGER,Customer Service/Support,BTech BE  ME MTech,200000,2,2
HYDERABAD,PERSIAN CUSTOMER SUPPORT AGENT,Customer Service/Support, BTech BE PG  ,50000,8,8
HYDERABAD,POLISH CUSTOMER SUPPORT AGENT,Customer Service/Support,12TH ,50000,7,15
BENGALURU,CUSTOMER SUPPORT AGENT,Customer Service/Support,12TH ,18000,11,4
HYDERABAD,RUSSIAN CUSTOMER SUPPORT AGENT,Customer Service/Support,MCA,50000,1,15
BENGALURU,SENIOR SHAREPOINT DEVELOPER ,IT/Software Development,10TH,80000,9,2
HYDERABAD,RUBY ON RAILS SOFTWARE DEVELOPER,IT/Software Development, BSc ,150000,11,3
HYDERABAD,JAVASCRIPT SOFTWARE DEVELOPER,IT/Software Development,12TH ,150000,1,3
BENGALURU,TELEMARKETING AGENT (TNS),Customer Service/Support,BTech BE  ME MTech,14000,11,80
BENGALURU,SALES ENGINEER/EXECUTIVE ,Sales/Retail/Business Development,12TH 10TH ,45000,10,3
BENGALURU,SW QUALITY ASSURANCE ENGINEER/TESTER,Quality Assurance/Quality Control,BTech BE  ME MTech,50000,7,3
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  ME MTech,25000,12,2
BENGALURU,CHANNEL MANAGER,Customer Service/Support,BTech BE  ME MTech,80000,9,2
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,60000,7,5
BENGALURU,.NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,12000,12,5
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BSc,50000,7,40
BENGALURU,TELESALES AGENT - TELECOMMUNICATIONS ,Customer Service/Support,10TH ,50000,12,80
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE MSc ME MTech ,50000,7,40
BENGALURU,MARKETING AND SALES EXECUTIVE - MEDIA PRODUCTION,Marketing,BTech BE  ME MTech,30000,7,8
BENGALURU,SUPPORT AGENT ,Customer Service/Support,BTech BE  ME MTech,35000,11,15
BENGALURU,CUSTOMER SERVICE AGENT - VODAFONE UK,Customer Service/Support,BTech BE  ME MTech,34000,0,100
BENGALURU,GRAPHIC DESIGNER,Creative/Design, BCom ,45000,2,2
BENGALURU,SALES REPRESENTATIVE ,Sales/Retail/Business Development,12TH,18000,5,8
BENGALURU,FULL STACK JAVACRIPT DEVELOPER,IT/Software Development,ME MTech  MS,40000,0,3
HYDERABAD,EXPORT ENGINEER,Engineering,ITI 10TH ,30000,8,2
BENGALURU,ARCHITECT,Creative/Design,BTech BE  ME MTech,80000,11,4
BENGALURU,GRAPHIC DESIGNER,Creative/Design,BTech BE  ME MTech,35000,5,2
HYDERABAD,SERVICE ENGINEER,Engineering,BTech BE  ME MTech,20000,6,2
BENGALURU,ETL CONSULTANT ,IT/Software Development, BTech BE ,100000,0,2
BENGALURU,EDITORIAL ASSISTANT,Editorial/Writing,MBBS,27500,1,8
BENGALURU,PHP DEVELOPER ,IT/Software Development, BA ,40000,1,3
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  ME MTech,15000,4,8
HYDERABAD,BIOMEDICAL ENGINEER,Engineering,BTech BE  ME MTech,35000,12,5
BENGALURU,INFRASTRUCTURE CIVIL / MECHANICAL ENGINEER  ,Engineering,BTech BE  ME MTech,80000,0,2
BENGALURU,TELESALES EXECUTIVE ,Sales/Retail/Business Development, BCom ,40000,6,15
BENGALURU,CALL CENTER AGENT ACTIVETION,Customer Service/Support,BTech BE  ME MTech,15000,4,2
BENGALURU,REVIT ARCHITECTURE INSTRUCTOR - TRAINER,Education/Training,BTech BE  ME MTech,100000,7,3
HYDERABAD,ANDROID DEVELOPER ,IT/Software Development,BTech BE  ME MTech,25000,9,2
BENGALURU,EMERGENCY SERVICES COORDINATOR - CALL CENTER,Customer Service/Support,BTech BE  ME MTech,15000,11,8
BENGALURU,BRAND MANAGER,Marketing,PG Other,70000,1,2
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,MBBS  MSc,60000,11,3
BENGALURU,TELEMARKETING AGENT,Customer Service/Support,BTech BE  ME MTech,28000,12,40
BENGALURU,SOFTWARE DEVELOPER,IT/Software Development,BTech BE  ME MTech,60000,2,4
BENGALURU,CALL CENTER AGENT (ETISALAT MISR),Customer Service/Support, BSc ,18000,7,80
HYDERABAD,SOFTWARE DEVELOPER ,IT/Software Development, BBA   BMS ,40000,5,5
BENGALURU,CUSTOMER SUPPORT - US ACCOUNT ,Customer Service/Support,MBA PGDM,65000,9,2
BENGALURU,MECHANICAL CAD ENGINEER,Engineering,BTech BE  ME MTech,90000,4,3
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE MSc ,16000,9,100
BENGALURU,SALES MANAGER,Engineering,BTech BE  ME MTech,50000,3,2
BENGALURU,CUSTOMER SERVICE ADVISOR BRITISH ACCOUNT,Customer Service/Support,BTech BE  ME MTech,30000,7,80
BENGALURU,MOBILE APPS UX DESIGNER,IT/Software Development,BTech BE  ME MTech,45000,6,2
HYDERABAD,CALL CENTER AGENT,Customer Service/Support,BTech BE ,30000,9,40
MUMBAI,FUNCTIONAL CONSULTANT (ALEXANDRIA),IT/Software Development,BTech BE  ME MTech,20000,12,2
BENGALURU,WEB DESIGNER,Creative/Design,BTech BE  ME MTech,45000,11,3
BENGALURU,IOS DEVELOPER,IT/Software Development, BTech BE ,45000,3,2
BENGALURU,.NET DEVELOPER ,IT/Software Development,BTech BE  ME MTech,80000,9,8
BENGALURU,GRAPHIC DESIGNER,Creative/Design,MSc  MPhil PhD,20000,0,2
HYDERABAD,AGRICULTURE ENGINEER,Engineering,BTech BE  ME MTech,50000,5,2
BENGALURU,UI / UX DEVELOPER ,Creative/Design,BSc DMLT ,30000,7,2
BENGALURU,SALES ACCOUNT MANAGER - IT SERVICES,Sales/Retail/Business Development,BTech BE  ME MTech,25000,1,4
BENGALURU,ORACLE SUPPLY CHAIN CONSULTANT,IT/Software Development,BTech BE  ME MTech,100000,8,2
BENGALURU,CUSTOMER INQUIRY ADVISOR,Customer Service/Support,BTech BE  ME MTech,30000,3,3
BENGALURU,JAVA EE SOFTWARE DEVELOPER,IT/Software Development, BPharma ,55000,9,3
BENGALURU,ANDROID DEVELOPER ,IT/Software Development,BTech BE  ME MTech,50000,12,2
BENGALURU,CONTENT SPECIALIST,Marketing,BTech BE  ME MTech,35000,0,5
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,BTech BE  ME MTech,18000,2,8
BENGALURU,SENIOR CRM ENGINEER ,IT/Software Development, BCom ,70000,4,2
HYDERABAD,BIOMEDICAL ENGINEER,Marketing,BTech BE  ME MTech,50000,2,8
BENGALURU,SENIOR .NET ENGINEER,IT/Software Development, BTech BE ,80000,2,2
BENGALURU,GRAPHIC DESIGNER,Creative/Design,BTech BE  ME MTech,60000,5,3
BENGALURU,SOFTWARE .NET ENGINEER,IT/Software Development,BTech BE  ME MTech,40000,11,2
BENGALURU,REVIT INSTRUCTOR,Creative/Design,BTech BE  ME MTech,1000000,7,3
BENGALURU,INTERIOR DESIGNER ,Engineering,BTech BE  ME MTech,25000,1,2
BENGALURU,TELESALES AGENT,Marketing,BTech BE  ME MTech,27500,2,8
BENGALURU,SALES ENGINEER - OIL & ENERGY SERVICES,Sales/Retail/Business Development, Diploma PG   Doctorate Doctorate ,45000,11,3
BENGALURU,CUSTOMER SERVICE_CALL CENTER,Customer Service/Support,BTech BE  ME MTech,24000,0,15
BENGALURU,.NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,65000,7,3
BENGALURU,SECURITY SYSTEMS ENGINEER,Installation/Maintenance/Repair,BTech BE  ME MTech,35000,5,2
BENGALURU,TELEMARKETING AGENT (TNS),Customer Service/Support,BTech BE  ME MTech,14000,5,80
BENGALURU,TELEMARKETING AGENT ,Customer Service/Support,BTech BE  ME MTech,14000,9,80
BENGALURU,CUSTOMER SERVICE ADVISOR GERMAN ACCOUNT,Customer Service/Support,BTech BE  ME MTech,50000,1,80
BENGALURU,CUSTOMER SERVICE AND TECHNICAL SUPPORT  AGENT,Customer Service/Support,BTech BE  ME MTech,35000,0,100
BENGALURU,TELESALES TEAM LEADER,Sales/Retail/Business Development, Graduation  PG   Doctorate Doctorate ,45000,9,2
BENGALURU,SENIOR JAVA SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,120000,3,3
BENGALURU,TELESALES AGENT ,Sales/Retail/Business Development,BTech BE  ME MTech,25000,0,80
HYDERABAD,SOFTWARE ENGINEER,IT/Software Development, BTech BE ,40000,8,3
BENGALURU,GRAPHIC DESIGNER - 3D,Marketing,BTech BE  ME MTech,20000,7,2
BENGALURU,FACILITY MANAGEMENT SALES ENGINEER,Engineering, BTech BE ,40000,11,2
BENGALURU, JAVA ENGINEER,IT/Software Development,BCA BPharma BSc BTech BE Diploma MSc DMLT ,60000,1,5
BENGALURU,ONLINE DATA ENTERING & EDITTING,Editorial/Writing,BSc BTech BE MSc ME MTech ,25000,10,3
MUMBAI,SALES REPRESENTATIVE,Sales/Retail/Business Development,BTech BE  ME MTech,35000,12,4
HYDERABAD,SALES ACCOUNT EXECUTIVE ,Sales/Retail/Business Development,BTech BE  ME MTech,40000,3,3
HYDERABAD,RESEARCH BIO-MEDICAL ENGINEER ,Biotech/R&D/Science,BTech BE  ME MTech,20000,0,3
BENGALURU,SENIOR JAVA DEVELOPER ,IT/Software Development,MPhil PhD  MS MD  MCh,70000,8,2
HYDERABAD,BIOMEDICAL ENGINEER,Engineering,BTech BE  ME MTech,20000,1,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support, BBA   BMS ,50000,6,40
MUMBAI,LAB CHEMIST,Biotech/R&D/Science,BTech BE  ME MTech,15000,11,8
MUMBAI,TELESALES,Marketing,BTech BE  ME MTech,10000,3,3
BENGALURU,SENIOR SOFTWARE DEVELOPER,IT/Software Development,BTech BE,90000,10,5
HYDERABAD,BIOMEDICAL ENGINEER,Medical,BTech BE  ME MTech,30000,10,5
BENGALURU,CREATIVE GRAPHIC DESIGNER,Creative/Design,BTech BE  ME MTech,30000,5,3
HYDERABAD,CUSTOMER SERVICE AGENT ,Customer Service/Support,MBBS,18000,0,3
HYDERABAD,SALES ACCOUNTS DIRECTOR ,Marketing,BTech BE  ME MTech,50000,0,3
BENGALURU,.NET DEVELOPER ,IT/Software Development, Graduation  PG  ,70000,8,4
HYDERABAD,FINALIZER (GRAPHIC DESIGNER),Creative/Design,BTech BE  ME MTech,45000,11,2
HYDERABAD,CALL CENTER AGENT,Customer Service/Support, BSc PG  ,14000,8,5
BENGALURU,SOFTWARE QUALITY ENGINEER ,IT/Software Development,MBBS,60000,6,4
BENGALURU,MARKETING COORDIANTOR,Marketing,BTech BE  ME MTech,70000,4,2
HYDERABAD,QUALITY INSPECTOR,Quality Assurance/Quality Control,BTech BE,12500,2,4
BENGALURU,PHP DEVELOPER ,IT/Software Development, Graduation  PG   Doctorate Doctorate ,40000,5,3
BENGALURU,SENIOR ANGULAR JS DEVELOPER ,IT/Software Development, BSc ,70000,8,3
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,90000,8,2
BENGALURU,UI/UX WEB DESIGNER,IT/Software Development,BTech BE  ME MTech,60000,0,2
BENGALURU,SENIOR IOS MOBILE APPLICATION DEVELOPER,IT/Software Development, BTech BE ,90000,12,2
BENGALURU,CUSTOMER SERVICE AGENT (MANDARINE KOUEIDER),Customer Service/Support,BTech BE  ME MTech,15000,1,3
BENGALURU,RUBY ON RAILS ENGINEER,IT/Software Development, BTech BE PG MTech,60000,4,2
HYDERABAD,CUSTOMER SERVICE AGENT - FRENCH SPEAKER,Customer Service/Support, Diploma ,35000,0,80
BENGALURU,GRAPHIC DESIGNER,Creative/Design,BTech BE  ME MTech,30000,2,2
MUMBAI,SR. PHP SOFTWARE DEVELOPMENT ENGINEER- ALEXANDRIA ,IT/Software Development,BTech BE  ME MTech,150000,7,8
MUMBAI,SR. JAVA SOFTWARE DEVELOPMENT ENGINEER- ALEXANDRIA ,IT/Software Development, BTech BE PG  ,150000,5,8
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE  ME MTech,50000,8,40
BENGALURU,TELESALES REPRESENTATIVE,Sales/Retail/Business Development,BTech BE  ME MTech,19000,10,8
BENGALURU,CUSTOMER SERVICE AGENT ,Customer Service/Support,BTech BE  ME MTech,30000,10,3
BENGALURU,ACCOUNTS RECEIVABLE,Accounting/Finance/Insurance,BTech BE  ME MTech,25000,12,2
BENGALURU,PROMOTER (SALES INDOOR),Sales/Retail/Business Development,BTech BE  ME MTech,20000,6,100
HYDERABAD,.NET DEVELOPER,Business , BCom ,30000,1,2
BENGALURU,TELESALES AGENT - TELECOMMUNICATIONS ,Customer Service/Support,BTech BE  ME MTech,50000,4,80
BENGALURU,B2B SALES EXECUTIVE - ADVERTISING,Sales/Retail/Business Development,10TH ,35000,9,2
BENGALURU,CALL CENTER AGENT ,Customer Service/Support, BTech BE PG MTech,50000,6,40
HYDERABAD,CUSTOMER SERVICE REPRESENTATIVE ,Customer Service/Support,BTech BE  ME MTech,15000,12,2
BENGALURU,JAVA DEVELOPER,IT/Software Development, BTech BE,50000,9,8
HYDERABAD,CHEMICAL ENGINEER,Engineering,ITI 10TH ,40000,4,3
BENGALURU,INTERNET CALL CENTER REPRESENTATIVE ,Customer Service/Support,BTech BE  ME MTech,25000,10,100
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,MSc  ME MTech,25000,0,100
BENGALURU,SOFTWARE DEVELOPER,IT/Software Development,MSc,25000,4,2
BENGALURU,JUNIOR SOFTWARE ENGINEER / IT SERVICE MANAGEMENT SPECIALIST,IT/Software Development,BTech BE  ME MTech,40000,2,2
BENGALURU,GRAPHIC DESIGNER - 2D,Creative/Design,BTech BE  ME MTech,20000,4,2
BENGALURU,SALES EXECUTIVE- SCIENTIFIC DEVICES,Sales/Retail/Business Development,BTech BE  ME MTech,50000,9,3
HYDERABAD,MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,20000,12,2
BENGALURU,IT - SYSTEM ADMINISTRATOR,IT/Software Development, BTech BE ,50000,0,2
MUMBAI,ASP.NET DEVELOPER (ALEXANDRIA),IT/Software Development,ICSI,40000,3,3
BENGALURU,SOCIAL MEDIA,Marketing,BTech BE  ME MTech,20000,10,2
HYDERABAD,PROJECT COORDINATOR,Engineering,MS MD,50000,6,2
HYDERABAD,TELECOM SITE ENGINEER,Engineering,BTech BE  ME MTech,40000,5,2
BENGALURU,GERMAN ACCOUNT ADVISOR,Customer Service/Support, BTech BE ,46000,9,100
BENGALURU,ACCOUNT EXECUTIVE - ADVERTISING ,Sales/Retail/Business Development,BTech BE  ME MTech,40000,5,2
BENGALURU,QUALITY CONTROL ENGINEER ,Engineering, Graduation  PG   Doctorate Doctorate ,80000,6,3
HYDERABAD,CUSTOMER SERVICE &PAINTBALL REFEREE,Customer Service/Support,BTech BE  ME MTech,28000,2,4
HYDERABAD,TELECOM SITE ENGINEER ,Engineering,BTech BE  ME MTech,35000,4,2
BENGALURU,SALES ENGINEER,Sales/Retail/Business Development,BSc DMLT ,15000,8,8
BENGALURU,CALL CENTER SPECIALIST ,Customer Service/Support,BTech BE  ME MTech,20000,11,40
BENGALURU,LABORATORY TECHNICIAN,Biotech/R&D/Science,BTech BE  ME MTech,15000,6,5
BENGALURU,SALES CHEMICAL ENGINEER,Engineering,BTech BE  ME MTech,50000,12,2
BENGALURU,SALES STEEL ENGINEER ,Engineering, BTech BE PG  ,50000,5,2
BENGALURU,SENIOR SOFTWARE DEVELOPER,Engineering,BTech BE  ME MTech,45000,1,2
BENGALURU,CUSTOMER SERVICE AGENT (VAS ACCOUNT),Customer Service/Support,BTech BE  ME MTech,15000,9,8
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE  ME MTech,20000,11,5
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,BTech BE  ME MTech,12000,7,2
MUMBAI,RUBY ON RAILS ENGINEER  - ALEXANDRIA,IT/Software Development,BTech BE  ME MTech,60000,1,2
HYDERABAD,SENIOR SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,70000,7,2
BENGALURU,ARCHITECTURE,Engineering,BTech BE  ME MTech,50000,10,5
BENGALURU,SALES INDOOR - AUTOMOTIVE ,Sales/Retail/Business Development, BTech BE PG MTech,15000,12,15
BENGALURU,WEB DESIGNER,Creative/Design, BTech BE PG MTech,25000,6,4
BENGALURU,INTERNATIONAL CALL CENTER - SALES ADVISOR ,Sales/Retail/Business Development,BTech BE  ME MTech,25000,9,15
BENGALURU,TELEMARKETING,Marketing,BTech BE  ME MTech,25000,11,15
MUMBAI,SALES ENGINEER - ALEXANDRIA,Sales/Retail/Business Development,BTech BE  ME MTech,500000,10,4
HYDERABAD,FRONT END DEVELOPER,IT/Software Development,BTech BE  ME MTech,35000,12,4
HYDERABAD,SALES ENGINEER ,Engineering,BTech BE  ME MTech,30000,12,2
BENGALURU,GRAPHIC DESIGNER,Creative/Design, BSc ,50000,9,2
